,Param Pair,Avg Accuracy
328,"(62, 15, 0.9888888888888888)",0.621537001044036
476,"(92, 15, 0.7666666666666666)",0.6213198776004099
427,"(82, 15, 0.8777777777777777)",0.6204448066324233
78,"(12, 15, 0.9888888888888888)",0.6196004812625578
221,"(42, 15, 0.2111111111111111)",0.6195497485540281
487,"(92, 20, 0.8777777777777777)",0.6194044324599817
327,"(62, 15, 0.8777777777777777)",0.6193956032593262
371,"(72, 15, 0.2111111111111111)",0.6193646938601995
77,"(12, 15, 0.8777777777777777)",0.6190717198509369
272,"(52, 15, 0.3222222222222222)",0.6188099540249593
226,"(42, 15, 0.7666666666666666)",0.6186978425176505
320,"(62, 15, 0.1)",0.6186696221520108
332,"(62, 20, 0.3222222222222222)",0.6183555262490272
428,"(82, 15, 0.9888888888888888)",0.6181963050454584
422,"(82, 15, 0.3222222222222222)",0.6181881644407887
373,"(72, 15, 0.43333333333333335)",0.6177181234574471
76,"(12, 15, 0.7666666666666666)",0.6175175594657608
223,"(42, 15, 0.43333333333333335)",0.6170894204241375
420,"(82, 15, 0.1)",0.6164563280778139
175,"(32, 15, 0.6555555555555556)",0.6164006633992086
225,"(42, 15, 0.6555555555555556)",0.6140147608120389
426,"(82, 15, 0.7666666666666666)",0.6138639020509802
127,"(22, 15, 0.8777777777777777)",0.6135435017736223
473,"(92, 15, 0.43333333333333335)",0.6123415161486327
386,"(72, 20, 0.7666666666666666)",0.6111669196653227
477,"(92, 15, 0.8777777777777777)",0.6109911515391792
421,"(82, 15, 0.2111111111111111)",0.6109771239210036
188,"(32, 20, 0.9888888888888888)",0.6106746154500564
379,"(72, 15, 1.1)",0.6104271644205823
376,"(72, 15, 0.7666666666666666)",0.609668857718326
71,"(12, 15, 0.2111111111111111)",0.6095832452365549
274,"(52, 15, 0.5444444444444444)",0.609484295193548
70,"(12, 15, 0.1)",0.6093866772279549
271,"(52, 15, 0.2111111111111111)",0.6091951721141479
270,"(52, 15, 0.1)",0.6089877223812635
172,"(32, 15, 0.3222222222222222)",0.6089596182130266
130,"(22, 20, 0.1)",0.6078079420969335
326,"(62, 15, 0.7666666666666666)",0.6071743171143591
179,"(32, 15, 1.1)",0.6069530482988483
173,"(32, 15, 0.43333333333333335)",0.6069442817412484
222,"(42, 15, 0.3222222222222222)",0.6066874172420624
231,"(42, 20, 0.2111111111111111)",0.6060447610109607
73,"(12, 15, 0.43333333333333335)",0.6059284097951866
185,"(32, 20, 0.6555555555555556)",0.6058565721278804
324,"(62, 15, 0.5444444444444444)",0.6057929545787966
471,"(92, 15, 0.2111111111111111)",0.605209890708154
325,"(62, 15, 0.6555555555555556)",0.6050985157905442
74,"(12, 15, 0.5444444444444444)",0.6033628952977269
280,"(52, 20, 0.1)",0.6032453230349051
339,"(62, 20, 1.1)",0.6031106862572956
134,"(22, 20, 0.5444444444444444)",0.6029303795069596
72,"(12, 15, 0.3222222222222222)",0.6028981910829195
338,"(62, 20, 0.9888888888888888)",0.6026505628687737
278,"(52, 15, 0.9888888888888888)",0.6025209024815921
279,"(52, 15, 1.1)",0.6024335923286964
229,"(42, 15, 1.1)",0.6022513999819971
187,"(32, 20, 0.8777777777777777)",0.602246182253589
238,"(42, 20, 0.9888888888888888)",0.6022328323427206
236,"(42, 20, 0.7666666666666666)",0.6022016972306649
121,"(22, 15, 0.2111111111111111)",0.6014006858706388
239,"(42, 20, 1.1)",0.6008370452762897
282,"(52, 20, 0.3222222222222222)",0.6002512094882164
125,"(22, 15, 0.6555555555555556)",0.6001708908959146
434,"(82, 20, 0.5444444444444444)",0.5999157059812518
385,"(72, 20, 0.6555555555555556)",0.5988395552187631
228,"(42, 15, 0.9888888888888888)",0.598824461534877
133,"(22, 20, 0.43333333333333335)",0.5985630539632959
285,"(52, 20, 0.6555555555555556)",0.5983604650430443
432,"(82, 20, 0.3222222222222222)",0.5980816139589786
84,"(12, 20, 0.5444444444444444)",0.5977682896310498
479,"(92, 15, 1.1)",0.5977489536636484
129,"(22, 15, 1.1)",0.5974122066815166
478,"(92, 15, 0.9888888888888888)",0.5973002510952596
288,"(52, 20, 0.9888888888888888)",0.5970650186337432
86,"(12, 20, 0.7666666666666666)",0.5963484351217795
484,"(92, 20, 0.5444444444444444)",0.5952661075753098
331,"(62, 20, 0.2111111111111111)",0.5950775595269313
289,"(52, 20, 1.1)",0.5949704285269359
382,"(72, 20, 0.3222222222222222)",0.5948608135565024
83,"(12, 20, 0.43333333333333335)",0.5948414932615342
480,"(92, 20, 0.1)",0.5947633468677249
180,"(32, 20, 0.1)",0.5946070751827067
139,"(22, 20, 1.1)",0.5942731918050064
235,"(42, 20, 0.6555555555555556)",0.5937997379431323
430,"(82, 20, 0.1)",0.5936723912755597
91,"(12, 25, 0.2111111111111111)",0.5930642514231673
234,"(42, 20, 0.5444444444444444)",0.5920483291083277
186,"(32, 20, 0.7666666666666666)",0.5918393566300384
387,"(72, 20, 0.8777777777777777)",0.5909033712835082
135,"(22, 20, 0.6555555555555556)",0.5906499331865112
482,"(92, 20, 0.3222222222222222)",0.5901933422575467
334,"(62, 20, 0.5444444444444444)",0.5899926379775062
233,"(42, 20, 0.43333333333333335)",0.5899731081640466
488,"(92, 20, 0.9888888888888888)",0.5899147139114309
171,"(32, 15, 0.2111111111111111)",0.5895912567599737
485,"(92, 20, 0.6555555555555556)",0.5895104433550683
330,"(62, 20, 0.1)",0.5890241440368762
435,"(82, 20, 0.6555555555555556)",0.5889590451001604
183,"(32, 20, 0.43333333333333335)",0.5888334427232033
184,"(32, 20, 0.5444444444444444)",0.5888082829208546
389,"(72, 20, 1.1)",0.5883170956407459
230,"(42, 20, 0.1)",0.5881684246430627
380,"(72, 20, 0.1)",0.5880797636940663
492,"(92, 25, 0.3222222222222222)",0.5879298345852784
486,"(92, 20, 0.7666666666666666)",0.5878276538557647
88,"(12, 20, 0.9888888888888888)",0.5875613350734677
224,"(42, 15, 0.5444444444444444)",0.5872517091927617
181,"(32, 20, 0.2111111111111111)",0.5871285136311428
87,"(12, 20, 0.8777777777777777)",0.5870818128589105
131,"(22, 20, 0.2111111111111111)",0.5867533163026163
483,"(92, 20, 0.43333333333333335)",0.5867171885545688
489,"(92, 20, 1.1)",0.5862239012555543
381,"(72, 20, 0.2111111111111111)",0.5860025699969669
147,"(22, 25, 0.8777777777777777)",0.5859237694337421
372,"(72, 15, 0.3222222222222222)",0.5857761523871178
190,"(32, 25, 0.1)",0.5839963825056194
439,"(82, 20, 1.1)",0.5835259217674599
182,"(32, 20, 0.3222222222222222)",0.5834002792394568
340,"(62, 25, 0.1)",0.5830100610331496
137,"(22, 20, 0.8777777777777777)",0.5829148146956777
136,"(22, 20, 0.7666666666666666)",0.5828001601006323
343,"(62, 25, 0.43333333333333335)",0.582791874213525
349,"(62, 25, 1.1)",0.5825566774106272
287,"(52, 20, 0.8777777777777777)",0.5821928870248708
448,"(82, 25, 0.9888888888888888)",0.5821389768952219
437,"(82, 20, 0.8777777777777777)",0.5817876995345136
383,"(72, 20, 0.43333333333333335)",0.5816754240967532
81,"(12, 20, 0.2111111111111111)",0.5810964362912265
337,"(62, 20, 0.8777777777777777)",0.5810726897959075
496,"(92, 25, 0.7666666666666666)",0.5809477621163176
490,"(92, 25, 0.1)",0.5809272017474927
499,"(92, 25, 1.1)",0.5804384266953047
347,"(62, 25, 0.8777777777777777)",0.5801480890121419
82,"(12, 20, 0.3222222222222222)",0.5794379425422593
196,"(32, 25, 0.7666666666666666)",0.5793230673578116
286,"(52, 20, 0.7666666666666666)",0.5791185384480115
390,"(72, 25, 0.1)",0.5784905035401091
348,"(62, 25, 0.9888888888888888)",0.5783694051255402
342,"(62, 25, 0.3222222222222222)",0.5780548763624795
85,"(12, 20, 0.6555555555555556)",0.5774920664617326
197,"(32, 25, 0.8777777777777777)",0.5772197781226946
283,"(52, 20, 0.43333333333333335)",0.5772016558688742
148,"(22, 25, 0.9888888888888888)",0.5769407212326205
95,"(12, 25, 0.6555555555555556)",0.5767198160053992
438,"(82, 20, 0.9888888888888888)",0.5764676597637639
295,"(52, 25, 0.6555555555555556)",0.5763556327843833
189,"(32, 20, 1.1)",0.5758905844638116
232,"(42, 20, 0.3222222222222222)",0.5758510741528855
89,"(12, 20, 1.1)",0.5758375769854291
431,"(82, 20, 0.2111111111111111)",0.575790751294923
447,"(82, 25, 0.8777777777777777)",0.575588181988402
198,"(32, 25, 0.9888888888888888)",0.5754788830043948
433,"(82, 20, 0.43333333333333335)",0.5753910079791061
80,"(12, 20, 0.1)",0.5751699667760708
399,"(72, 25, 1.1)",0.5751678880595709
247,"(42, 25, 0.8777777777777777)",0.5751594937124086
138,"(22, 20, 0.9888888888888888)",0.5744381905931786
243,"(42, 25, 0.43333333333333335)",0.5743818826115282
298,"(52, 25, 0.9888888888888888)",0.5741612556861121
248,"(42, 25, 0.9888888888888888)",0.5739017487426488
333,"(62, 20, 0.43333333333333335)",0.5736256748380749
341,"(62, 25, 0.2111111111111111)",0.5729809938746764
299,"(52, 25, 1.1)",0.5721653220568365
441,"(82, 25, 0.2111111111111111)",0.5718009200740332
396,"(72, 25, 0.7666666666666666)",0.5711774700180875
281,"(52, 20, 0.2111111111111111)",0.5707287797721616
249,"(42, 25, 1.1)",0.5706637685920011
393,"(72, 25, 0.43333333333333335)",0.5704316820669817
93,"(12, 25, 0.43333333333333335)",0.5696904705567665
199,"(32, 25, 1.1)",0.5696578493229156
445,"(82, 25, 0.6555555555555556)",0.5696565292107139
284,"(52, 20, 0.5444444444444444)",0.5693174813567786
242,"(42, 25, 0.3222222222222222)",0.5693170831097782
440,"(82, 25, 0.1)",0.5692740942577321
436,"(82, 20, 0.7666666666666666)",0.5692619639638439
149,"(22, 25, 1.1)",0.5687562058825323
296,"(52, 25, 0.7666666666666666)",0.5687553877162849
292,"(52, 25, 0.3222222222222222)",0.5686824877309979
443,"(82, 25, 0.43333333333333335)",0.5682736186719142
96,"(12, 25, 0.7666666666666666)",0.5680683694282662
398,"(72, 25, 0.9888888888888888)",0.567603567347185
494,"(92, 25, 0.5444444444444444)",0.5675924918301636
388,"(72, 20, 0.9888888888888888)",0.5671589398172525
346,"(62, 25, 0.7666666666666666)",0.5670235012374882
193,"(32, 25, 0.43333333333333335)",0.5669999157625478
143,"(22, 25, 0.43333333333333335)",0.5666883139014989
132,"(22, 20, 0.3222222222222222)",0.5666373752174934
237,"(42, 20, 0.8777777777777777)",0.5666191756794083
244,"(42, 25, 0.5444444444444444)",0.5657796889183132
491,"(92, 25, 0.2111111111111111)",0.5650659479654461
90,"(12, 25, 0.1)",0.564781997796765
392,"(72, 25, 0.3222222222222222)",0.5643804781255721
345,"(62, 25, 0.6555555555555556)",0.5641845958484332
444,"(82, 25, 0.5444444444444444)",0.5640037075071392
397,"(72, 25, 0.8777777777777777)",0.5639341152642464
495,"(92, 25, 0.6555555555555556)",0.5637930629146897
481,"(92, 20, 0.2111111111111111)",0.5637867379791375
498,"(92, 25, 0.9888888888888888)",0.5636847668640276
297,"(52, 25, 0.8777777777777777)",0.5636006633905276
